period,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115011000,3,7,11,12,13,15,18,20,29,30,31,33,36,53,55,59,62,67,69,76
115011001,2,4,5,10,23,24,26,31,35,36,41,48,49,51,60,68,70,73,74,80
115011002,1,2,4,8,9,15,20,27,30,35,44,47,55,56,61,62,65,71,72,73
115011003,1,5,6,7,22,23,28,31,32,34,39,42,49,55,57,58,64,69,74,75
115011004,1,5,6,9,10,19,21,24,26,30,32,38,39,42,46,53,56,63,71,78
115011005,4,5,6,7,8,13,16,17,18,21,27,30,32,43,48,51,67,72,73,75
115011006,6,10,11,18,19,20,23,27,30,31,34,44,46,52,53,58,60,75,76,77
115011007,5,7,12,15,27,30,33,39,43,45,52,56,58,59,65,67,68,69,70,75
115011008,3,6,9,10,12,16,18,37,40,43,47,49,54,58,61,63,64,66,67,77
115011009,1,2,3,4,14,20,22,23,25,30,32,36,39,41,45,58,59,61,63,70
115011010,1,7,12,13,14,15,18,30,33,34,35,48,50,52,57,62,67,69,72,73
115011011,1,4,5,6,12,13,18,20,26,28,33,35,36,37,41,45,52,66,76,78
115011012,3,4,9,10,13,16,21,24,28,32,33,36,40,41,44,47,55,68,74,75
115011013,5,6,15,18,22,24,26,27,28,33,34,39,48,53,55,60,61,65,70,73
115011014,3,4,5,6,7,10,23,24,30,32,35,39,42,44,47,48,51,53,61,67
115011015,1,2,3,4,12,15,18,23,29,30,49,50,53,54,57,59,63,75,76,80
115011016,6,10,14,18,20,24,25,31,32,35,38,42,46,53,66,68,72,74,78,80
115011017,1,5,10,12,18,24,27,28,29,31,33,36,41,42,43,54,55,57,60,79
115011018,5,6,8,12,15,20,24,30,31,38,39,43,56,57,58,61,62,68,72,75
115011019,9,14,16,20,31,34,38,44,47,53,56,59,63,66,68,69,70,77,78,79
115011020,7,9,12,16,24,27,28,37,38,40,44,49,53,60,64,66,68,69,76,77
115011021,1,2,16,20,28,35,40,44,47,48,50,53,55,60,61,64,72,75,78,79
115011022,5,6,7,11,13,18,19,29,31,43,45,49,56,59,67,70,71,73,76,77
115011023,2,4,7,10,15,18,19,25,27,33,43,44,52,54,60,61,65,68,70,72
115011024,3,4,8,9,11,12,14,15,18,20,25,32,33,37,38,53,74,75,77,79
115011025,2,5,12,16,18,21,24,25,33,40,45,47,50,54,55,59,65,69,71,79
115011026,2,5,7,10,14,23,25,28,29,38,42,43,51,57,58,66,70,72,74,75
115011027,1,2,3,5,9,12,16,25,28,29,34,39,45,50,57,60,61,62,71,77
115011028,3,4,5,6,7,11,12,15,19,24,28,29,34,38,42,49,63,65,77,79
115011029,3,12,17,19,26,32,33,38,42,43,44,45,48,51,52,55,60,61,62,73
115011030,3,7,10,18,19,20,22,23,24,25,26,29,31,47,49,54,56,61,65,72
115011031,3,4,6,8,9,10,16,18,19,20,25,32,33,36,50,60,62,65,71,79
115011032,1,4,5,8,16,19,20,24,29,33,36,42,43,45,48,59,63,68,74,75
115011033,1,2,4,6,9,12,14,37,42,43,47,48,51,52,54,56,57,58,63,65
115011034,1,2,5,6,14,20,24,27,28,29,32,39,40,44,47,48,50,68,71,78
115011035,4,7,8,12,22,23,24,27,31,33,36,50,51,56,58,63,64,67,77,80
115011036,2,3,4,8,11,15,23,24,25,26,44,46,47,54,57,59,63,68,73,78
115011037,2,3,4,8,11,19,20,35,42,45,46,47,48,49,55,56,68,69,72,77
