period,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115011368,10,13,14,17,19,25,26,30,31,34,39,47,50,52,53,54,65,68,69,73
115011368,10,13,14,17,19,25,26,30,31,34,39,45,47,52,53,54,65,68,69,73
115011368,10,13,14,17,19,25,26,30,31,34,39,40,47,52,53,54,65,68,69,73
115011368,10,13,14,17,19,25,26,30,31,34,35,39,47,52,53,54,65,68,69,73
115011368,10,13,14,17,19,20,25,26,30,31,34,39,47,52,53,54,65,68,69,73
115011368,10,13,14,15,17,19,25,26,30,31,34,39,47,52,53,54,65,68,69,73
115011373,10,13,16,17,20,26,29,30,36,37,47,48,52,56,60,61,65,66,75,77
115011377,13,25,26,28,33,34,36,38,39,40,43,51,53,57,60,63,64,67,77,80
115011378,15,18,24,26,30,31,33,39,41,43,46,48,50,58,63,67,68,75,76,78
115011382,12,15,16,26,27,32,35,37,39,46,51,52,53,57,59,64,65,69,74,77
115011388,16,18,24,25,26,30,34,35,40,43,45,46,47,49,50,55,62,64,71,75
115011392,10,11,13,25,26,27,31,33,34,40,41,48,53,63,64,65,66,68,69,72
115011395,12,18,19,20,24,26,30,34,35,36,43,44,46,49,50,54,65,68,69,79
115011397,12,14,15,18,26,30,32,33,36,38,41,43,54,63,66,68,69,74,77,79
115011401,14,26,29,37,38,40,44,48,51,54,56,64,65,70,74,75,76,78,79,80
115011402,11,15,17,18,19,20,22,25,26,29,46,47,51,52,53,55,63,68,72,75
115011404,11,12,14,15,16,22,24,25,26,29,36,44,45,62,63,64,69,70,72,74
115011405,13,22,23,24,26,27,31,35,39,46,53,55,57,62,64,66,67,72,75,76
115011408,15,18,22,25,26,27,29,30,32,33,34,38,41,45,53,54,60,61,69,78
115011409,10,19,20,23,26,28,30,36,39,44,53,54,68,69,73,75,76,77,78,79
115011410,10,14,19,24,26,28,35,38,39,41,46,49,52,53,60,68,71,72,79,80
115011414,14,15,16,25,26,28,31,33,37,39,52,54,55,56,57,61,63,68,69,75
115011416,12,16,17,21,22,26,27,30,41,43,45,46,47,48,54,55,63,64,68,71
115011417,10,16,19,21,24,26,30,33,35,37,40,42,51,52,55,56,65,68,71,72
115011418,12,14,19,25,26,29,31,34,35,39,45,46,48,51,55,69,72,73,79,80
115011420,12,15,16,18,22,24,26,27,36,37,44,49,50,58,64,72,74,75,76,79
115011423,16,17,23,25,26,27,30,40,43,44,46,49,51,52,53,55,56,69,75,79
115011425,18,19,22,24,26,31,37,38,46,48,51,53,57,63,64,65,69,70,72,80
115011426,12,13,14,16,17,21,26,27,30,34,47,48,49,57,58,59,64,71,73,77
115011427,10,12,13,21,26,27,28,31,32,33,34,39,44,45,52,63,65,67,72,79
115011430,10,15,21,24,26,34,39,41,46,47,50,58,60,62,68,69,72,75,76,77
115011432,12,13,14,25,26,27,34,37,43,44,45,52,53,56,58,65,70,72,73,76
115011435,14,21,22,26,32,35,36,40,52,60,62,63,64,65,66,68,72,74,78,79
115011436,11,13,15,20,23,26,32,36,39,45,46,50,56,60,62,64,67,73,76,78
115011437,13,14,19,22,25,26,28,38,42,43,47,53,55,57,59,65,67,68,70,78
115011441,10,11,17,20,26,30,32,37,38,42,61,63,64,65,66,68,69,72,75,80
115011444,13,14,26,27,28,33,37,38,39,40,46,49,50,51,53,54,58,65,75,77
115011446,13,15,16,26,27,33,35,46,47,50,53,54,56,57,61,69,71,72,74,80
115011447,10,13,16,24,26,28,31,32,37,38,44,48,53,61,62,65,67,76,78,79
115011448,10,11,14,22,23,24,26,30,33,36,40,48,52,54,58,59,63,69,76,78
115011452,10,14,17,18,24,25,26,30,35,36,44,46,48,49,50,62,67,71,74,76
115011454,11,13,15,21,25,26,32,33,35,39,40,43,49,54,56,58,59,61,62,78
115011455,11,13,20,23,25,26,27,29,37,42,44,47,52,53,55,58,62,66,70,79
115011456,11,13,18,20,24,26,27,30,36,40,42,43,49,51,52,53,56,58,71,75
115011459,17,23,26,28,34,38,42,45,47,50,51,52,56,62,63,65,71,75,79,80
115011462,17,18,21,22,26,29,37,38,50,51,58,61,64,65,67,70,71,77,78,80
115011465,11,12,14,15,16,20,23,26,32,35,42,44,48,49,50,53,62,64,71,77
115011468,11,12,19,25,26,27,29,31,36,43,44,55,60,61,63,68,69,74,75,79
115011469,10,11,12,15,16,26,27,29,32,41,45,46,48,52,57,60,66,76,78,79
115011470,10,12,21,24,25,26,27,29,32,36,56,57,60,62,67,70,73,75,76,79
115011472,11,16,17,22,26,31,33,34,35,41,47,49,50,52,56,63,64,70,71,75
115011473,10,12,17,26,27,32,33,39,50,51,54,59,63,64,67,71,72,74,76,79
115011477,13,26,34,35,36,37,40,42,49,50,56,57,58,59,62,66,69,71,73,74
115011481,13,14,16,18,23,24,26,31,32,39,42,52,56,57,58,60,63,71,73,76
115011482,11,12,13,14,19,22,26,29,34,35,37,41,42,45,49,63,65,71,72,79
115011483,16,20,23,26,31,34,36,38,39,46,47,48,58,59,66,67,68,69,73,77
115011492,18,26,28,30,32,34,37,38,43,44,45,49,53,56,62,66,70,73,77,80
115011494,10,11,12,14,20,26,27,31,32,35,37,39,40,44,45,47,48,55,64,75
115011498,12,14,16,19,26,28,31,32,33,42,43,52,54,56,57,70,72,75,77,80
115011505,18,19,25,26,29,30,31,32,34,38,43,45,46,49,51,53,56,60,62,70
115011506,10,11,12,15,17,20,21,26,27,35,37,44,46,50,55,69,71,76,77,80
115011509,13,16,18,25,26,32,33,34,35,41,42,45,50,58,61,66,67,73,76,77
115011516,12,15,16,24,25,26,29,31,32,40,43,45,47,50,53,57,68,70,72,78
115011522,10,12,13,14,18,19,20,26,28,37,41,46,51,55,56,60,62,69,77,80
115011524,10,14,15,16,18,26,27,35,39,41,43,50,53,55,60,62,64,72,77,79
115011525,11,18,20,22,25,26,31,35,36,41,43,50,53,55,58,65,70,71,72,75
115011528,10,11,20,21,23,25,26,27,28,34,35,37,42,43,44,46,51,56,59,72
115011529,14,16,21,25,26,32,34,39,46,52,56,57,59,61,63,64,68,71,73,75
115011531,11,17,25,26,32,35,38,40,42,43,44,47,48,50,51,68,74,75,76,80
115011535,14,17,23,24,26,27,29,34,41,43,46,50,52,55,57,58,61,65,67,69
115011538,10,15,26,27,33,34,41,44,50,51,55,57,59,68,70,71,72,73,75,77
115011539,13,15,18,23,24,26,30,33,35,38,41,43,44,53,56,58,63,73,77,80
115011540,25,26,27,37,38,43,45,50,53,54,55,57,58,59,61,65,67,70,74,78
115011544,10,12,21,23,26,27,30,32,33,37,38,39,45,51,56,67,68,72,77,80
115011550,11,12,25,26,27,30,38,40,44,47,50,56,61,62,63,65,66,76,77,78
115011551,10,20,23,25,26,29,37,41,42,44,45,50,54,56,59,61,62,66,70,79
115011552,16,17,25,26,31,36,39,40,42,46,51,56,58,61,67,72,73,74,76,77
115011553,10,11,12,16,17,18,19,21,25,26,29,30,35,38,41,51,57,68,72,76
115011556,14,18,19,26,29,32,44,45,46,51,56,59,60,61,66,68,71,72,74,79
115011557,11,16,19,25,26,34,39,46,48,50,55,56,58,59,61,68,69,72,73,79
115011560,15,18,19,20,23,25,26,28,30,33,38,47,48,50,58,64,65,72,74,76
115011563,11,13,14,15,26,27,29,30,34,37,51,52,56,57,59,61,62,68,74,77
115011564,13,15,21,23,25,26,33,38,39,42,43,50,54,59,64,66,68,70,71,75
115011565,15,16,18,21,26,27,40,42,47,49,54,57,58,63,64,65,66,72,75,78
115011566,19,20,21,22,23,24,26,32,33,34,35,37,45,48,51,53,66,76,78,80
4453327627,1,2,4,5,6,8,9,10,11,12,13,19,23,25,30,33,43,61,62,80
4453327627,1,2,4,5,6,7,8,9,10,11,12,13,19,23,25,33,43,61,62,80
115011368,1,9,10,13,14,17,19,25,30,31,34,39,47,52,53,54,65,68,69,73
115011373,1,10,13,16,17,20,29,30,36,37,47,48,52,56,60,61,65,66,75,77
115011375,1,21,26,28,30,44,48,49,51,52,53,58,59,61,62,63,64,66,71,75
115011377,1,13,25,28,33,34,36,38,39,40,43,51,53,57,60,63,64,67,77,80
115011378,1,15,18,24,30,31,33,39,41,43,46,48,50,58,63,67,68,75,76,78
115011392,1,10,11,13,25,27,31,33,34,40,41,48,53,63,64,65,66,68,69,72
115011397,1,12,14,15,18,26,32,33,36,38,41,43,54,63,66,68,69,74,77,79
115011401,1,14,29,37,38,40,44,48,51,54,56,64,65,70,74,75,76,78,79,80
115011402,1,11,15,17,18,19,20,22,25,29,46,47,51,52,53,55,63,68,72,75
115011404,1,11,12,14,15,16,22,24,25,29,36,44,45,62,63,64,69,70,72,74
115011405,1,13,22,23,24,27,31,35,39,46,53,55,57,62,64,66,67,72,75,76
115011409,1,10,19,20,23,28,30,36,39,44,53,54,68,69,73,75,76,77,78,79
115011410,1,10,14,19,24,26,28,38,39,41,46,49,52,53,60,68,71,72,79,80
115011416,1,12,16,17,21,22,27,30,41,43,45,46,47,48,54,55,63,64,68,71
115011418,1,12,14,19,25,29,31,34,35,39,45,46,48,51,55,69,72,73,79,80
115011420,1,12,15,16,18,22,24,27,36,37,44,49,50,58,64,72,74,75,76,79
115011425,1,18,19,22,24,31,37,38,46,48,51,53,57,63,64,65,69,70,72,80
115011426,1,12,13,14,16,17,21,27,30,34,47,48,49,57,58,59,64,71,73,77
115011427,1,10,12,13,21,27,28,31,32,33,34,39,44,45,52,63,65,67,72,79
115011428,1,10,17,19,23,26,29,30,31,35,38,45,47,51,55,62,66,72,73,74
115011432,1,12,13,14,26,27,34,37,43,44,45,52,53,56,58,65,70,72,73,76
115011437,1,13,14,19,22,25,28,38,42,43,47,53,55,57,59,65,67,68,70,78
115011441,1,10,11,17,20,30,32,37,38,42,61,63,64,65,66,68,69,72,75,80
115011444,1,13,14,27,28,33,37,38,39,40,46,49,50,51,53,54,58,65,75,77
115011446,1,13,15,16,27,33,35,46,47,50,53,54,56,57,61,69,71,72,74,80
115011447,1,10,13,16,24,28,31,32,37,38,44,48,53,61,62,65,67,76,78,79
115011448,1,10,11,14,22,23,24,30,33,36,40,48,52,54,58,59,63,69,76,78
